epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,668.822,1.4789,0.9827,1.07698,0.70092,0.7711,0.78629,0.43625,1.62631,1.11576,1.11206,0.005743,0.005743,0.005743
45,684.029,1.47988,0.99422,1.08095,0.71716,0.74513,0.78451,0.47302,1.4755,0.98892,1.0573,0.005644,0.005644,0.005644
46,698.933,1.43446,0.97307,1.07378,0.68741,0.75325,0.76382,0.44696,1.60263,1.03104,1.11052,0.005545,0.005545,0.005545
47,714.977,1.45182,0.97962,1.07648,0.74832,0.66396,0.74593,0.43381,1.5987,1.06642,1.12855,0.005446,0.005446,0.005446
48,730.455,1.44481,0.95919,1.06929,0.69891,0.7289,0.75082,0.4609,1.46009,1.03647,1.07228,0.005347,0.005347,0.005347
49,745.272,1.45961,0.96752,1.0779,0.77039,0.69805,0.77862,0.47184,1.40895,1.0193,1.05273,0.005248,0.005248,0.005248
50,760.087,1.44232,0.9641,1.07829,0.71695,0.74838,0.78479,0.47817,1.45443,1.01309,1.05357,0.005149,0.005149,0.005149
51,776.368,1.37322,0.94829,1.05906,0.79078,0.69805,0.79152,0.47755,1.43096,0.98805,1.04843,0.00505,0.00505,0.00505
52,791.055,1.39224,0.90197,1.0473,0.77293,0.73492,0.78197,0.48974,1.40358,0.94803,1.04563,0.004951,0.004951,0.004951
53,807.22,1.41434,0.94277,1.05615,0.78709,0.71104,0.77223,0.48713,1.42167,0.96434,1.05083,0.004852,0.004852,0.004852
54,821.646,1.36999,0.9179,1.04997,0.73613,0.68669,0.73927,0.45711,1.45441,1.03241,1.06363,0.004753,0.004753,0.004753
55,836.659,1.36332,0.90032,1.04058,0.76357,0.71916,0.7779,0.48972,1.41532,0.95512,1.04487,0.004654,0.004654,0.004654
56,851.91,1.36231,0.89177,1.03418,0.74391,0.76299,0.78993,0.51117,1.36396,0.93121,1.02008,0.004555,0.004555,0.004555
57,867.058,1.35559,0.90653,1.04149,0.75454,0.69481,0.75316,0.48511,1.40765,0.97119,1.0574,0.004456,0.004456,0.004456
58,882.28,1.38305,0.91069,1.04916,0.74576,0.76948,0.80782,0.51126,1.3551,0.94296,1.05005,0.004357,0.004357,0.004357
59,897.654,1.3724,0.90623,1.04676,0.74062,0.75325,0.78293,0.49197,1.40765,0.96657,1.04634,0.004258,0.004258,0.004258
60,912.695,1.37453,0.90297,1.04631,0.76161,0.7289,0.78667,0.49452,1.39899,0.9825,1.05835,0.004159,0.004159,0.004159
61,927.939,1.35712,0.88368,1.03513,0.71345,0.79221,0.80145,0.51536,1.36501,0.9243,1.03967,0.00406,0.00406,0.00406
62,943.853,1.32982,0.8615,1.02186,0.75939,0.74026,0.792,0.48814,1.45103,0.96183,1.04465,0.003961,0.003961,0.003961
63,958.813,1.29775,0.84651,1.02215,0.73404,0.75649,0.77093,0.49083,1.39453,0.97409,1.05286,0.003862,0.003862,0.003862
64,974.383,1.3125,0.84627,1.02441,0.7406,0.75812,0.78933,0.49244,1.39718,0.9475,1.03043,0.003763,0.003763,0.003763
65,989.321,1.33476,0.86462,1.02956,0.74113,0.75755,0.79848,0.51302,1.37317,0.93955,1.02967,0.003664,0.003664,0.003664
66,1005.65,1.29393,0.82149,1.01097,0.73146,0.77597,0.8008,0.51936,1.35618,0.91173,1.03007,0.003565,0.003565,0.003565
67,1021,1.31535,0.84756,1.02887,0.75629,0.71591,0.77163,0.48567,1.41374,0.93915,1.03838,0.003466,0.003466,0.003466
68,1037.25,1.30676,0.83749,1.0187,0.73996,0.75757,0.79211,0.50128,1.3488,0.91378,1.01409,0.003367,0.003367,0.003367
69,1052.51,1.30491,0.82363,1.01599,0.74862,0.76786,0.80211,0.50992,1.36745,0.89083,1.01881,0.003268,0.003268,0.003268
70,1068.23,1.27135,0.83337,1.01887,0.77511,0.75487,0.7995,0.52989,1.32423,0.86941,1.02413,0.003169,0.003169,0.003169
71,1084.45,1.30182,0.82726,1.01857,0.76675,0.75325,0.78883,0.51389,1.2796,0.88497,1.01582,0.00307,0.00307,0.00307
72,1099.51,1.26514,0.80968,1.00517,0.80169,0.735,0.78663,0.49751,1.35748,0.92974,1.03848,0.002971,0.002971,0.002971
73,1114.98,1.30716,0.83128,1.0247,0.77623,0.70779,0.76846,0.50571,1.27847,0.92323,1.0085,0.002872,0.002872,0.002872
74,1131.16,1.2736,0.80253,1.0109,0.72138,0.73135,0.75226,0.49155,1.33705,0.96981,1.0302,0.002773,0.002773,0.002773
75,1146.59,1.27252,0.81298,1.01613,0.78142,0.74286,0.78052,0.5043,1.32081,0.92005,1.018,0.002674,0.002674,0.002674
76,1162.84,1.28218,0.81576,1.01347,0.77849,0.7474,0.80483,0.52263,1.31363,0.88354,1.01634,0.002575,0.002575,0.002575
77,1178.77,1.23759,0.79905,1.00001,0.77711,0.74147,0.78868,0.5167,1.30384,0.87717,1.02499,0.002476,0.002476,0.002476
78,1193.97,1.27206,0.79958,1.01062,0.77597,0.75346,0.7956,0.5178,1.33624,0.89601,1.03063,0.002377,0.002377,0.002377
79,1210.17,1.26734,0.79098,1.00493,0.79032,0.71753,0.78268,0.51917,1.27791,0.87641,1.01618,0.002278,0.002278,0.002278
80,1227.67,1.26838,0.79429,1.00223,0.7892,0.76623,0.82138,0.53413,1.29855,0.86787,1.01553,0.002179,0.002179,0.002179
81,1244.22,1.20845,0.7478,0.99094,0.7355,0.78096,0.8067,0.53133,1.29704,0.86013,1.01488,0.00208,0.00208,0.00208
82,1258.57,1.22371,0.76142,0.99658,0.78202,0.73966,0.80618,0.53433,1.26436,0.86836,0.99764,0.001981,0.001981,0.001981
83,1274.43,1.24264,0.7822,0.99861,0.78948,0.77273,0.80659,0.532,1.24101,0.87032,0.99658,0.001882,0.001882,0.001882
84,1289.31,1.23622,0.75913,0.99696,0.79028,0.77922,0.80041,0.52867,1.25754,0.85945,1.0023,0.001783,0.001783,0.001783
85,1304.26,1.197,0.73362,0.98684,0.78304,0.7711,0.80193,0.53619,1.26666,0.85503,1.00649,0.001684,0.001684,0.001684
86,1319.53,1.22392,0.76396,0.99899,0.80213,0.76461,0.81665,0.53062,1.30166,0.85693,1.01275,0.001585,0.001585,0.001585
87,1334.39,1.20677,0.75546,0.99309,0.79192,0.77847,0.81502,0.53067,1.29398,0.8619,1.00276,0.001486,0.001486,0.001486
88,1350.2,1.18153,0.7404,0.9901,0.81302,0.74119,0.80379,0.5404,1.244,0.84813,0.99907,0.001387,0.001387,0.001387
89,1364.9,1.16437,0.72602,0.97722,0.7821,0.78734,0.8105,0.54715,1.24455,0.83323,1.00138,0.001288,0.001288,0.001288
90,1381.64,1.19261,0.74566,0.98302,0.79522,0.7711,0.80879,0.54104,1.24413,0.84409,1.00582,0.001189,0.001189,0.001189
91,1396.82,1.19689,0.73022,0.97849,0.7776,0.77195,0.80885,0.54228,1.23797,0.84755,0.99795,0.00109,0.00109,0.00109
92,1414.3,1.17314,0.73432,0.97812,0.75357,0.79383,0.80931,0.54443,1.25254,0.83833,1.00612,0.000991,0.000991,0.000991
93,1431.19,1.16477,0.73253,0.9711,0.79149,0.75325,0.80646,0.52621,1.33732,0.87952,1.02088,0.000892,0.000892,0.000892
94,1448.29,1.20266,0.74993,0.98714,0.76814,0.76299,0.8024,0.52376,1.31775,0.86998,1.02067,0.000793,0.000793,0.000793
95,1463.93,1.16549,0.71339,0.97739,0.77715,0.76786,0.7983,0.53693,1.24708,0.84133,1.00618,0.000694,0.000694,0.000694
96,1481.04,1.13692,0.69183,0.97303,0.80199,0.743,0.80042,0.53888,1.24281,0.84462,1.00332,0.000595,0.000595,0.000595
97,1497.83,1.16715,0.69934,0.97324,0.7905,0.74675,0.80323,0.54659,1.22662,0.83828,1.00912,0.000496,0.000496,0.000496
98,1514.71,1.14659,0.70849,0.97327,0.79136,0.76354,0.80852,0.5419,1.2249,0.83187,1.00858,0.000397,0.000397,0.000397
99,1530.48,1.15894,0.70747,0.97806,0.77205,0.76299,0.80746,0.54608,1.23181,0.82952,1.00552,0.000298,0.000298,0.000298
100,1546.32,1.16229,0.70618,0.97952,0.79566,0.75325,0.81239,0.54676,1.23098,0.83468,1.00295,0.000199,0.000199,0.000199
